"gene_id","gene_name","gene_type","pvalue","adj.P.Val","logFC"
"ENSG00000011600","TYROBP","protein_coding",5.33329206243062e-10,1.81909791835734e-07,1.77086880642491
"ENSG00000182541","LIMK2","protein_coding",1.11225030995469e-09,3.51693548007673e-07,0.957967695048155
"ENSG00000244752","CRYBB2","protein_coding",1.1456401229995e-09,3.53416006724333e-07,3.47079321459607
"ENSG00000059377","TBXAS1","protein_coding",1.33408239140237e-09,4.01749383010886e-07,1.4712185483137
"ENSG00000132965","ALOX5AP","protein_coding",1.70293570064591e-09,5.00900714924872e-07,1.65758879502147
"ENSG00000249307","LINC01088","lncRNA",2.37756284539919e-09,6.83441247013841e-07,1.3574660548085
"ENSG00000149633","KIAA1755","protein_coding",2.81990403468699e-09,7.92581027349358e-07,1.26317101103004
"ENSG00000188747","NOXA1","protein_coding",3.11401353264996e-09,8.49179088245621e-07,1.06440770296434
"ENSG00000133321","PLAAT4","protein_coding",3.15555164038142e-09,8.49179088245621e-07,1.14107332638314
"ENSG00000132196","HSD17B7","protein_coding",3.48325476698661e-09,9.17837631100972e-07,0.727086796139869
"ENSG00000123836","PFKFB2","protein_coding",3.68507405517874e-09,9.50792165705217e-07,0.931034950711376
"ENSG00000137198","GMPR","protein_coding",3.75866605670943e-09,9.50792165705217e-07,1.5304332635478
"ENSG00000152495","CAMK4","protein_coding",4.56861150228714e-09,1.11122689001784e-06,-0.737970213726424
"ENSG00000007516","BAIAP3","protein_coding",4.53763399974633e-09,1.11122689001784e-06,1.2621640851861
"ENSG00000081237","PTPRC","protein_coding",5.11567901074145e-09,1.22081336090298e-06,1.67613815709122
"ENSG00000129009","ISLR","protein_coding",5.30143479186696e-09,1.24171383791728e-06,1.79499677388371
"ENSG00000135124","P2RX4","protein_coding",5.80481964086090e-09,1.33489743304743e-06,0.792312895125893
"ENSG00000143110","C1orf162","protein_coding",8.32704504325529e-09,1.88072260191237e-06,1.06294278746708
"ENSG00000019582","CD74","protein_coding",8.91429977435756e-09,1.97803620256271e-06,2.48965356463107
"ENSG00000228058","LINC01736","lncRNA",9.62153279185613e-09,2.09815770261028e-06,1.61823849619161
"ENSG00000127951","FGL2","protein_coding",1.02000827674615e-08,2.1866211329297e-06,1.32169860129647
"ENSG00000026297","RNASET2","protein_coding",1.84806531681286e-08,3.8957216878415e-06,0.911591875882141
"ENSG00000181585","TMIE","protein_coding",2.5173629541607e-08,4.95039866035312e-06,0.898085679230573
"ENSG00000175309","PHYKPL","protein_coding",2.51801904781229e-08,4.95039866035312e-06,0.582269162605429
"ENSG00000204472","AIF1","protein_coding",2.47931467240159e-08,4.95039866035312e-06,1.47847823983025
"ENSG00000178209","PLEC","protein_coding",2.40280103194605e-08,4.95039866035312e-06,0.597931625803905
"ENSG00000236088","COX10-AS1","lncRNA",2.54408533304042e-08,4.95039866035312e-06,-0.986855714195874
"ENSG00000155659","VSIG4","protein_coding",2.88015830237745e-08,5.51943063764697e-06,1.59770998528309
"ENSG00000110876","SELPLG","protein_coding",4.09241827908168e-08,7.72550841698881e-06,1.47754379884243
"ENSG00000172508","CARNS1","protein_coding",4.60936830244696e-08,8.44917250570278e-06,1.43795601102572
"ENSG00000171860","C3AR1","protein_coding",4.54506221428711e-08,8.44917250570278e-06,1.57641826900924
"ENSG00000159674","SPON2","protein_coding",5.06855171683666e-08,9.15814887350715e-06,1.37328345504339
"ENSG00000242866","STRC","protein_coding",5.24839254007513e-08,9.34953082350285e-06,0.917704656500388
"ENSG00000131386","GALNT15","protein_coding",5.37307707855036e-08,9.43870540132013e-06,1.41703240895592
"ENSG00000043591","ADRB1","protein_coding",5.68664292372232e-08,9.71954860800538e-06,-1.07900699069483
"ENSG00000182362","YBEY","protein_coding",5.61795682584555e-08,9.71954860800538e-06,0.869693731493682
"ENSG00000137275","RIPK1","protein_coding",6.11210567236846e-08,1.03074550058822e-05,0.633640022664811
"ENSG00000188818","ZDHHC11","protein_coding",6.70770501203784e-08,1.11630332884545e-05,1.75534913574084
"ENSG00000147459","DOCK5","protein_coding",7.66313946572867e-08,1.25874529821476e-05,1.08026316653697
"ENSG00000165168","CYBB","protein_coding",8.1926018796098e-08,1.32846190478596e-05,1.49717511123314
"ENSG00000147655","RSPO2","protein_coding",8.49181468913049e-08,1.35955028086231e-05,1.80967698971599
"ENSG00000135924","DNAJB2","protein_coding",8.81349132862869e-08,1.3934129790562e-05,0.383208321229602
"ENSG00000054690","PLEKHH1","protein_coding",9.18329899445605e-08,1.43395513187506e-05,0.876450172598308
"ENSG00000133048","CHI3L1","protein_coding",1.14144957396686e-07,1.73940412187143e-05,1.20088184400383
"ENSG00000204482","LST1","protein_coding",1.1286050874314e-07,1.73940412187143e-05,1.48747402518348
"ENSG00000159713","TPPP3","protein_coding",1.31283622749094e-07,1.95350030650652e-05,1.34659751404089
"ENSG00000132470","ITGB4","protein_coding",1.31214568758664e-07,1.95350030650652e-05,1.33663492755518
"ENSG00000105499","PLA2G4C","protein_coding",1.36663033460863e-07,2.00990005489884e-05,0.801887306004686
"ENSG00000126264","HCST","protein_coding",1.3996983207269e-07,2.0348717655809e-05,1.1966430848446
"ENSG00000183346","CABCOCO1","protein_coding",1.46921649337116e-07,2.08793822563578e-05,1.29770262736955
"ENSG00000137497","NUMA1","protein_coding",1.46214849117185e-07,2.08793822563578e-05,0.518108012244365
"ENSG00000064199","SPA17","protein_coding",1.51196070092387e-07,2.12480877169835e-05,-0.611006628366732
"ENSG00000164934","DCAF13","protein_coding",1.77639520727155e-07,2.44442569335968e-05,-0.544952670141807
"ENSG00000132600","PRMT7","protein_coding",1.77804525449945e-07,2.44442569335968e-05,0.907486505684753
"ENSG00000115107","STEAP3","protein_coding",1.8100662890612e-07,2.46169015312323e-05,1.33789210377914
"ENSG00000041515","MYO16","protein_coding",1.87294177335136e-07,2.52010293078171e-05,-1.21228922310518
"ENSG00000140678","ITGAX","protein_coding",2.05539829496536e-07,2.70798725361686e-05,1.5483652553754
"ENSG00000168961","LGALS9","protein_coding",2.03858855788816e-07,2.70798725361686e-05,1.28181626856903
"ENSG00000092529","CAPN3","protein_coding",2.151306358418e-07,2.80512606404854e-05,1.40973449055731
"ENSG00000079156","OSBPL6","protein_coding",2.24605220992232e-07,2.89878248480587e-05,-0.601002337237023
"ENSG00000137700","SLC37A4","protein_coding",2.47523004782464e-07,3.16229390352385e-05,0.718977990130863
"ENSG00000167705","RILP","protein_coding",2.72108034466653e-07,3.44162241993422e-05,0.768173691440019
"ENSG00000086730","LAT2","protein_coding",3.02215834377629e-07,3.78458007248341e-05,1.23452407362828
"ENSG00000100376","FAM118A","protein_coding",3.29197448714902e-07,4.08204836406479e-05,0.862606663333964
"ENSG00000151746","BICD1","protein_coding",3.54347285390934e-07,4.3512470540044e-05,-0.530669542311
"ENSG00000013563","DNASE1L1","protein_coding",3.59331954604275e-07,4.37002938637968e-05,0.998246723815742
"ENSG00000246089","AC016065.1","lncRNA",3.98271841567715e-07,4.79746881156996e-05,-0.833364494469869
"ENSG00000158863","FAM160B2","protein_coding",4.045197070003e-07,4.82675967371679e-05,0.49152734717352
"ENSG00000176046","NUPR1","protein_coding",4.10931122124726e-07,4.85743629218087e-05,1.46573170181899
"ENSG00000143119","CD53","protein_coding",4.37401201369814e-07,5.07545907791322e-05,1.59151033080625
"ENSG00000196136","SERPINA3","protein_coding",4.35814086767144e-07,5.07545907791322e-05,2.46580954792027
"ENSG00000137070","IL11RA","protein_coding",4.48028452665802e-07,5.15151260847006e-05,0.789142127605979
"ENSG00000124920","MYRF","protein_coding",4.70905571888911e-07,5.36577808400986e-05,1.30125921365273
"ENSG00000167123","CERCAM","protein_coding",5.16420934369955e-07,5.79057489382874e-05,1.22033255112865
"ENSG00000102038","SMARCA1","protein_coding",5.17342633620057e-07,5.79057489382874e-05,-0.48111273420632
"ENSG00000186493","C5orf38","protein_coding",5.35175528460757e-07,5.93763165260672e-05,1.4162321208556
"ENSG00000168010","ATG16L2","protein_coding",5.49047110523645e-07,6.03856335122005e-05,0.637472183122923
"ENSG00000170275","CRTAP","protein_coding",5.67585838598426e-07,6.18864283326974e-05,0.577582806690049
"ENSG00000147180","ZNF711","protein_coding",5.73389407971822e-07,6.19848652310052e-05,-0.514662681293941
"ENSG00000213672","NCKIPSD","protein_coding",5.81822796679947e-07,6.23635146814235e-05,0.733468797858435
"ENSG00000117266","CDK18","protein_coding",6.22156341545253e-07,6.56498420172473e-05,0.779466112181207
"ENSG00000113269","RNF130","protein_coding",6.22863776254719e-07,6.56498420172473e-05,0.396420434654762
"ENSG00000077238","IL4R","protein_coding",6.29933075955518e-07,6.58462276420281e-05,1.5770059992667
"ENSG00000183696","UPP1","protein_coding",6.54747411617366e-07,6.78790595257086e-05,0.601562006392823
"ENSG00000002016","RAD52","protein_coding",6.65595655022036e-07,6.84427141847049e-05,0.790969081278827
"ENSG00000182698","RESP18","protein_coding",7.05959735298378e-07,7.14318298564311e-05,-3.11268304225711
"ENSG00000258818","RNASE4","protein_coding",7.0489671020807e-07,7.14318298564311e-05,1.4216862785329
"ENSG00000167555","ZNF528","protein_coding",7.32497892866412e-07,7.35288361029713e-05,-0.618595402902488
"ENSG00000166340","TPP1","protein_coding",7.9582655579284e-07,7.92568053359672e-05,0.605700955141976
"ENSG00000159314","ARHGAP27","protein_coding",8.033504809591e-07,7.93810693997711e-05,0.895437393641687
"ENSG00000049245","VAMP3","protein_coding",8.23036729561499e-07,8.0695880275146e-05,0.700295120791537
"ENSG00000121933","TMIGD3","protein_coding",8.34687817768313e-07,8.12087039933356e-05,1.61536078406439
"ENSG00000259448","LINC02352","lncRNA",8.63699627993254e-07,8.33898694264022e-05,0.883354055258692
"ENSG00000099957","P2RX6","protein_coding",8.93542873371931e-07,8.56176535030923e-05,0.958382265378458
"ENSG00000054179","ENTPD2","protein_coding",9.48576620221304e-07,9.02074969365342e-05,1.33081541877486
"ENSG00000065978","YBX1","protein_coding",9.56965046028345e-07,9.03260738967649e-05,-0.909378053140142
"ENSG00000110002","VWA5A","protein_coding",1.00423754913091e-06,9.33940920691747e-05,0.902167109214985
"ENSG00000176912","TYMSOS","lncRNA",1.00409020053803e-06,9.33940920691747e-05,1.42033382100171
"ENSG00000213160","KLHL23","protein_coding",1.01474739385532e-06,9.36826645071685e-05,-0.520815130296734
"ENSG00000213023","SYT3","protein_coding",1.03191660801586e-06,9.45774004216274e-05,-0.816995047120372
"ENSG00000160211","G6PD","protein_coding",1.0542055885918e-06,9.59251243489859e-05,0.640015425728849
"ENSG00000196547","MAN2A2","protein_coding",1.11472058887408e-06,0.000100707042914852,0.478154171156366
"ENSG00000213397","HAUS7","protein_coding",1.15264106022729e-06,0.000103394355530176,0.646278748756579
"ENSG00000180353","HCLS1","protein_coding",1.19072456096806e-06,0.000105984466730677,1.22925709867671
"ENSG00000197892","KIF13B","protein_coding",1.19827472663558e-06,0.000105984466730677,0.698716528160656
"ENSG00000162444","RBP7","protein_coding",1.21560912127607e-06,0.000106720867778624,1.42073876619834
"ENSG00000143373","ZNF687","protein_coding",1.22347610910029e-06,0.000106720867778624,0.590961534541872
"ENSG00000181404","WASHC1","protein_coding",1.27336619158709e-06,0.000110311887610914,0.486258697645037
"ENSG00000167613","LAIR1","protein_coding",1.28432141781422e-06,0.000110504063214383,1.20492944447298
"ENSG00000010282","HHATL","protein_coding",1.32583259794286e-06,0.000113304937153927,1.67203948731184
"ENSG00000179915","NRXN1","protein_coding",1.39952455301928e-06,0.000118007910310585,-0.389529630388065
"ENSG00000177105","RHOG","protein_coding",1.39661421017e-06,0.000118007910310585,0.859527761132236
"ENSG00000148429","USP6NL","protein_coding",1.41052705519134e-06,0.000118147988040133,-0.752266656904857
"ENSG00000006695","COX10","protein_coding",1.51248359141235e-06,0.000125854555685417,-0.66621983034619
"ENSG00000132702","HAPLN2","protein_coding",1.52775609808179e-06,0.000126294504108095,1.0983442849901
"ENSG00000181513","ACBD4","protein_coding",1.56527354313116e-06,0.000128555712815084,0.692400719449222
"ENSG00000166503","HDGFL3","protein_coding",1.62032607715814e-06,0.000132218607896104,-0.346355580411436
"ENSG00000171659","GPR34","protein_coding",1.66172031831671e-06,0.000134727170423524,1.42667295398245
"ENSG00000197355","UAP1L1","protein_coding",1.67668118312068e-06,0.000135074290472041,0.968481311346873
"ENSG00000156968","MPV17L","protein_coding",1.71671501292096e-06,0.000137424123312812,-0.644128383891534
"ENSG00000032742","IFT88","protein_coding",1.80754669168171e-06,0.000143785223625096,0.384884611557826
"ENSG00000214021","TTLL3","protein_coding",1.86083289540812e-06,0.000147098840382012,0.68706170449305
"ENSG00000003989","SLC7A2","protein_coding",1.91284628667809e-06,0.000149343702678423,1.07925390156865
"ENSG00000262165","AC233723.1","protein_coding",1.91205715013607e-06,0.000149343702678423,1.12232176886648
"ENSG00000095970","TREM2","protein_coding",2.11145929428219e-06,0.000162839860695617,1.32140159733441
"ENSG00000272541","AL021368.3","lncRNA",2.10940236114212e-06,0.000162839860695617,1.31851756006254
"ENSG00000104859","CLASRP","protein_coding",2.12568236061309e-06,0.000162943215133542,0.438283582597219
"ENSG00000182578","CSF1R","protein_coding",2.14668221866976e-06,0.000163561666877923,1.42399269532611
"ENSG00000118271","TTR","protein_coding",2.26853100785618e-06,0.00017181065980458,-7.29528673329923
"ENSG00000173391","OLR1","protein_coding",2.30720784273847e-06,0.000173699790446168,1.45815963249459
"ENSG00000184408","KCND2","protein_coding",2.56249022154429e-06,0.000191673235006719,-0.514684153129033
"ENSG00000179526","SHARPIN","protein_coding",2.57625315869247e-06,0.000191673235006719,0.422852550558884
"ENSG00000162572","SCNN1D","protein_coding",2.70964075830528e-06,0.000197457210610234,0.70890530007403
"ENSG00000058453","CROCC","protein_coding",2.67380734114975e-06,0.000197457210610234,0.58484510665543
"ENSG00000169242","EFNA1","protein_coding",2.73205343586266e-06,0.000197457210610234,1.05025782489134
"ENSG00000163788","SNRK","protein_coding",2.70705880937382e-06,0.000197457210610234,-0.439401069793777
"ENSG00000235034","C19orf81","protein_coding",2.72757350873252e-06,0.000197457210610234,0.836105274017737
"ENSG00000131724","IL13RA1","protein_coding",2.89547339510919e-06,0.000208079247166711,0.968819006603424
"ENSG00000214575","CPEB1","protein_coding",3.16607082783076e-06,0.000224968897923615,0.635879454679777
"ENSG00000169562","GJB1","protein_coding",3.15785058278387e-06,0.000224968897923615,1.53096432600605
"ENSG00000204060","FOXO6","protein_coding",3.28217664907384e-06,0.000231916034958022,-1.37886660961901
"ENSG00000160221","GATD3A","protein_coding",3.32351936094983e-06,0.000233532627096075,2.61133156171988
"ENSG00000117115","PADI2","protein_coding",3.47395905088228e-06,0.000242754884395354,1.40903825994198
"ENSG00000213654","GPSM3","protein_coding",3.57630861964171e-06,0.000248533799017738,1.22330367321633
"ENSG00000018510","AGPS","protein_coding",3.70713125058016e-06,0.000256217464794196,-0.398672582197673
"ENSG00000145734","BDP1","protein_coding",3.74326089696153e-06,0.00025730849904766,-0.871918958761502
"ENSG00000150337","FCGR1A","protein_coding",3.79823026438858e-06,0.000259675764237766,1.1845102129911
"ENSG00000213316","LTC4S","protein_coding",3.91503373235001e-06,0.000266222293799801,0.869578905249582
"ENSG00000170011","MYRIP","protein_coding",4.00928003091303e-06,0.00026906327459243,-0.683138774594878
"ENSG00000151466","SCLT1","protein_coding",4.04190561136635e-06,0.00026906327459243,-1.01077785161768
"ENSG00000009950","MLXIPL","protein_coding",4.03676183682579e-06,0.00026906327459243,1.10073363869226
"ENSG00000034152","MAP2K3","protein_coding",4.04121995470839e-06,0.00026906327459243,0.596704817647528
"ENSG00000132274","TRIM22","protein_coding",4.1800349268782e-06,0.000276801475157882,1.09562079813714
"ENSG00000142583","SLC2A5","protein_coding",4.21578198598244e-06,0.000277714638326593,1.25381830867802
"ENSG00000187838","PLSCR3","protein_coding",4.26176302501951e-06,0.000279289009017859,0.577414989062365
"ENSG00000240583","AQP1","protein_coding",4.39792856057768e-06,0.000286726806361786,1.64914579922078
"ENSG00000112419","PHACTR2","protein_coding",4.4965777358739e-06,0.000291654949760683,-0.783931980341473
"ENSG00000141524","TMC6","protein_coding",4.56867950912594e-06,0.000294819685874617,1.04782516002081
"ENSG00000189339","SLC35E2B","protein_coding",4.76061380237716e-06,0.000305645905443992,0.627282515242258
"ENSG00000103490","PYCARD","protein_coding",4.848886980331e-06,0.00030974102286478,1.12375056265031
"ENSG00000166682","TMPRSS5","protein_coding",4.94678071595217e-06,0.000314406444700317,0.743082972427609
"ENSG00000182685","BRICD5","protein_coding",4.99978373243754e-06,0.00031618632323935,0.817590047419856
"ENSG00000183496","MEX3B","protein_coding",5.13641685617217e-06,0.000322576734837368,-0.908861019600198
"ENSG00000141934","PLPP2","protein_coding",5.15184222305095e-06,0.000322576734837368,1.14672948738006
"ENSG00000197363","ZNF517","protein_coding",5.25430271321325e-06,0.000327371530624242,0.645804034248991
"ENSG00000137491","SLCO2B1","protein_coding",5.39202101185617e-06,0.000334305302735083,0.942794742994453
"ENSG00000198839","ZNF277","protein_coding",5.45114979894902e-06,0.00033632264710784,-0.54040880344762
"ENSG00000101336","HCK","protein_coding",5.62475052442593e-06,0.000345348760354073,1.30146837095682
"ENSG00000172115","CYCS","protein_coding",5.7504828554856e-06,0.000351362836503294,-0.603261114129577
"ENSG00000182179","UBA7","protein_coding",5.78056732114793e-06,0.000351502959028264,0.870001005409469
"ENSG00000112335","SNX3","protein_coding",5.84827754933528e-06,0.000353398988818256,-0.377109949012239
"ENSG00000076344","RGS11","protein_coding",5.86763026975283e-06,0.000353398988818256,0.546642097425426
"ENSG00000280670","CCDC163","protein_coding",6.06748201054302e-06,0.00036198826636485,1.12351818301808
"ENSG00000206535","LNP1","protein_coding",6.04952863595866e-06,0.00036198826636485,0.862484460596295
"ENSG00000250519","AP002784.1","lncRNA",6.36152425420194e-06,0.000377749102193174,0.830722631414739
"ENSG00000101752","MIB1","protein_coding",6.73821264216074e-06,0.000398247259336678,-0.396677489613071
"ENSG00000163520","FBLN2","protein_coding",6.87974630488195e-06,0.000404721075647195,-1.06090737752811
"ENSG00000183160","TMEM119","protein_coding",7.47273006597153e-06,0.000435553409559483,1.28205959117331
"ENSG00000215440","NPEPL1","protein_coding",7.44908252026364e-06,0.000435553409559483,0.816458229894347
"ENSG00000198919","DZIP3","protein_coding",7.60914236149114e-06,0.000440959294447256,-0.414555793536244
"ENSG00000126822","PLEKHG3","protein_coding",7.63520599967972e-06,0.000440959294447256,0.7894393732132
"ENSG00000205560","CPT1B","protein_coding",8.13089020552488e-06,0.000467452269633994,0.85153001565097
"ENSG00000106624","AEBP1","protein_coding",8.28653827805052e-06,0.000474244959913045,1.13915761874001
"ENSG00000163565","IFI16","protein_coding",8.35891331436912e-06,0.000476232142342976,0.729425679533152
"ENSG00000157873","TNFRSF14","protein_coding",8.49681571789398e-06,0.00048191805022387,0.589565207623675
"ENSG00000168918","INPP5D","protein_coding",8.75806048769065e-06,0.000494266364066593,0.955705533922571
"ENSG00000089041","P2RX7","protein_coding",8.87084635065754e-06,0.000494266364066593,0.575336281940977
"ENSG00000104131","EIF3J","protein_coding",8.8536607440585e-06,0.000494266364066593,-0.480940406955267
"ENSG00000204278","TMEM235","protein_coding",8.83101074732326e-06,0.000494266364066593,1.39562062088674
"ENSG00000198093","ZNF649","protein_coding",8.9470273048536e-06,0.000496324567332405,-0.590122577577541
"ENSG00000186818","LILRB4","protein_coding",9.46761734376635e-06,0.000522910149187584,1.21743008016365
"ENSG00000180354","MTURN","protein_coding",9.76959095934837e-06,0.00053491682447549,0.415334966565117
"ENSG00000162341","TPCN2","protein_coding",9.7645743634726e-06,0.00053491682447549,-0.48727492324606
"ENSG00000166348","USP54","protein_coding",9.87867979093572e-06,0.000538558370671357,0.542165165825752
"ENSG00000160282","FTCD","protein_coding",9.95547609571985e-06,0.000540415715273239,-2.01347391721793
"ENSG00000118939","UCHL3","protein_coding",1.01008606041232e-05,0.000543785569000169,-0.515099564719953
"ENSG00000126458","RRAS","protein_coding",1.0103542751031e-05,0.000543785569000169,0.807241856243909
"ENSG00000150779","TIMM8B","protein_coding",1.02210992880141e-05,0.000547781626249164,-0.523662327703882
"ENSG00000150625","GPM6A","protein_coding",1.03244981794092e-05,0.000550988409169485,-0.38939356628686
"ENSG00000096401","CDC5L","protein_coding",1.04081822534128e-05,0.000553120542609937,-0.449810635613193
"ENSG00000066336","SPI1","protein_coding",1.05699459579274e-05,0.000558035647125772,0.777160791728245
"ENSG00000185215","TNFAIP2","protein_coding",1.05889117101664e-05,0.000558035647125772,0.901445092274586
"ENSG00000124784","RIOK1","protein_coding",1.06734475172756e-05,0.000560156697919096,-0.408642187750303
"ENSG00000110104","CCDC86","protein_coding",1.08383711009168e-05,0.000566461643323947,0.522643250580809
"ENSG00000204536","CCHCR1","protein_coding",1.09058903306791e-05,0.000567644859680778,0.631657732041334
"ENSG00000143224","PPOX","protein_coding",1.09963013591251e-05,0.000570004998320549,0.49877457932582
"ENSG00000148826","NKX6-2","protein_coding",1.10755054992083e-05,0.000571767320628517,1.28024075161277
"ENSG00000163702","IL17RC","protein_coding",1.13749671064051e-05,0.00057796605503486,0.777584538725374
"ENSG00000243056","EIF4EBP3","protein_coding",1.13016988566576e-05,0.00057796605503486,0.681918755824049
"ENSG00000242574","HLA-DMB","protein_coding",1.12494799539648e-05,0.00057796605503486,1.45329943192372
"ENSG00000148204","CRB2","protein_coding",1.1378363986692e-05,0.00057796605503486,0.761989222873026
"ENSG00000122966","CIT","protein_coding",1.1498729870147e-05,0.000581442273048877,0.63635459915177
"ENSG00000198089","SFI1","protein_coding",1.1538742135932e-05,0.000581442273048877,0.552169852752699
"ENSG00000125730","C3","protein_coding",1.16517400966774e-05,0.000584806383899903,1.50090811790507
"ENSG00000272870","AC097534.2","lncRNA",1.17675692270614e-05,0.000588285437090404,0.844517209740616
"ENSG00000002586","CD99","protein_coding",1.19194875078366e-05,0.000593534165350855,0.812337320944786
"ENSG00000182118","FAM89A","protein_coding",1.21211864460401e-05,0.000597164143750154,1.0484125939737
"ENSG00000176788","BASP1","protein_coding",1.2181242021469e-05,0.000597164143750154,-0.454908773409455
"ENSG00000071242","RPS6KA2","protein_coding",1.21314008680438e-05,0.000597164143750154,0.486663973084835
"ENSG00000001497","LAS1L","protein_coding",1.21762538651407e-05,0.000597164143750154,0.403373140960312
"ENSG00000242252","BGLAP","protein_coding",1.27041618372855e-05,0.000618008611223028,0.545998345296923
"ENSG00000136235","GPNMB","protein_coding",1.26909173172012e-05,0.000618008611223028,1.11821541351172
"ENSG00000082212","ME2","protein_coding",1.28277926376759e-05,0.000620225450479664,-0.394802423864832
"ENSG00000126456","IRF3","protein_coding",1.28478074024092e-05,0.000620225450479664,0.491887090446347
"ENSG00000150551","LYPD1","protein_coding",1.29027163549357e-05,0.000620507819229,-1.00570686915811
"ENSG00000198162","MAN1A2","protein_coding",1.29802702730217e-05,0.000621872948534767,-1.03428572303714
"ENSG00000196312","MFSD14C","protein_coding",1.32195656085085e-05,0.000630947418175152,-0.536948259710565
"ENSG00000214193","SH3D21","protein_coding",1.32977273114486e-05,0.000632291936222563,0.60724238552959
"ENSG00000280789","PAGR1","protein_coding",1.35823036235107e-05,0.000643404405356417,0.481496358929548
"ENSG00000130775","THEMIS2","protein_coding",1.3747411119667e-05,0.000647422992462451,0.682512840235925
"ENSG00000002933","TMEM176A","protein_coding",1.39295609093666e-05,0.000647422992462451,1.44882527806327
"ENSG00000036448","MYOM2","protein_coding",1.39370731398153e-05,0.000647422992462451,0.723711906075177
"ENSG00000103184","SEC14L5","protein_coding",1.38544403651184e-05,0.000647422992462451,0.682642282776637
